2026-02-15 16:18:42,713 | INFO | app.services.ride_service | Creating ride request for user 1
2026-02-15 16:18:42,726 | INFO | app.main | Completed POST http://127.0.0.1:8000/rides/request Status: 200 Time: 0.014s
2026-02-15 16:18:44,614 | INFO | app.main | Incoming request: POST http://127.0.0.1:8000/rides//cancel
2026-02-15 16:18:44,615 | INFO | app.main | Completed POST http://127.0.0.1:8000/rides//cancel Status: 405 Time: 0.001s
2026-02-15 16:19:02,067 | INFO | app.main | Smart Airport Ride Pooling Backend Started
2026-02-15 16:22:38,434 | INFO | app.main | Incoming request: GET http://127.0.0.1:8000/
2026-02-15 16:22:38,507 | INFO | app.main | Completed GET http://127.0.0.1:8000/ Status: 200 Time: 0.0733s
2026-02-15 16:22:45,642 | INFO | app.main | Incoming request: POST http://127.0.0.1:8000/rides/request
2026-02-15 16:22:45,652 | INFO | app.services.ride_service | Creating ride request for user 1
2026-02-15 16:22:45,710 | INFO | app.main | Completed POST http://127.0.0.1:8000/rides/request Status: 200 Time: 0.0678s
2026-02-15 16:22:52,772 | INFO | app.main | Incoming request: POST http://127.0.0.1:8000/rides/7/cancel
2026-02-15 16:22:52,786 | INFO | app.services.ride_service | Cancelling ride request 7
2026-02-15 16:22:52,824 | INFO | app.main | Completed POST http://127.0.0.1:8000/rides/7/cancel Status: 200 Time: 0.0522s
2026-02-15 16:22:55,540 | INFO | app.main | Incoming request: POST http://127.0.0.1:8000/rides/request
2026-02-15 16:22:55,542 | INFO | app.services.ride_service | Creating ride request for user 1
2026-02-15 16:22:55,571 | INFO | app.main | Completed POST http://127.0.0.1:8000/rides/request Status: 200 Time: 0.0316s
2026-02-15 16:22:56,596 | INFO | app.main | Incoming request: POST http://127.0.0.1:8000/rides/request
2026-02-15 16:22:56,598 | INFO | app.services.ride_service | Creating ride request for user 1
2026-02-15 16:22:56,626 | INFO | app.main | Completed POST http://127.0.0.1:8000/rides/request Status: 200 Time: 0.0295s
2026-02-15 16:24:24,955 | INFO | app.main | Incoming request: GET http://127.0.0.1:8000/
2026-02-15 16:24:24,958 | INFO | app.main | Completed GET http://127.0.0.1:8000/ Status: 200 Time: 0.003s
2026-02-15 16:24:28,999 | INFO | app.main | Incoming request: POST http://127.0.0.1:8000/rides/request
2026-02-15 16:24:29,002 | INFO | app.services.ride_service | Creating ride request for user 1
2026-02-15 16:24:29,023 | INFO | app.main | Completed POST http://127.0.0.1:8000/rides/request Status: 200 Time: 0.0245s
2026-02-15 16:24:30,697 | INFO | app.main | Incoming request: POST http://127.0.0.1:8000/rides/request
2026-02-15 16:24:30,702 | INFO | app.services.ride_service | Creating ride request for user 1
2026-02-15 16:24:30,730 | INFO | app.main | Completed POST http://127.0.0.1:8000/rides/request Status: 200 Time: 0.033s
2026-02-15 16:24:44,151 | INFO | app.main | Incoming request: POST http://127.0.0.1:8000/rides/request
2026-02-15 16:24:44,152 | INFO | app.services.ride_service | Creating ride request for user 1
2026-02-15 16:24:44,166 | INFO | app.main | Completed POST http://127.0.0.1:8000/rides/request Status: 200 Time: 0.0152s
2026-02-15 16:24:55,150 | INFO | app.main | Incoming request: POST http://127.0.0.1:8000/rides/77/cancel
2026-02-15 16:24:55,151 | INFO | app.services.ride_service | Cancelling ride request 77
2026-02-15 16:24:55,153 | INFO | app.main | Completed POST http://127.0.0.1:8000/rides/77/cancel Status: 200 Time: 0.0031s
2026-02-15 16:24:56,064 | INFO | app.main | Incoming request: POST http://127.0.0.1:8000/rides/77/cancel
2026-02-15 16:24:56,068 | INFO | app.services.ride_service | Cancelling ride request 77
2026-02-15 16:24:56,073 | INFO | app.main | Completed POST http://127.0.0.1:8000/rides/77/cancel Status: 200 Time: 0.0082s
2026-02-15 16:24:56,644 | INFO | app.main | Incoming request: POST http://127.0.0.1:8000/rides/77/cancel
2026-02-15 16:24:56,645 | INFO | app.services.ride_service | Cancelling ride request 77
2026-02-15 16:24:56,647 | INFO | app.main | Completed POST http://127.0.0.1:8000/rides/77/cancel Status: 200 Time: 0.003s
2026-02-15 16:24:57,118 | INFO | app.main | Incoming request: POST http://127.0.0.1:8000/rides/77/cancel
2026-02-15 16:24:57,121 | INFO | app.services.ride_service | Cancelling ride request 77
2026-02-15 16:24:57,125 | INFO | app.main | Completed POST http://127.0.0.1:8000/rides/77/cancel Status: 200 Time: 0.007s
2026-02-15 16:24:57,329 | INFO | app.main | Incoming request: POST http://127.0.0.1:8000/rides/77/cancel
2026-02-15 16:24:57,332 | INFO | app.services.ride_service | Cancelling ride request 77
2026-02-15 16:24:57,334 | INFO | app.main | Completed POST http://127.0.0.1:8000/rides/77/cancel Status: 200 Time: 0.0045s
2026-02-15 16:24:57,550 | INFO | app.main | Incoming request: POST http://127.0.0.1:8000/rides/77/cancel
2026-02-15 16:24:57,551 | INFO | app.services.ride_service | Cancelling ride request 77
2026-02-15 16:24:57,553 | INFO | app.main | Completed POST http://127.0.0.1:8000/rides/77/cancel Status: 200 Time: 0.003s
2026-02-15 16:24:59,208 | INFO | app.main | Incoming request: POST http://127.0.0.1:8000/rides/request
2026-02-15 16:24:59,210 | INFO | app.services.ride_service | Creating ride request for user 1
2026-02-15 16:24:59,228 | INFO | app.main | Completed POST http://127.0.0.1:8000/rides/request Status: 200 Time: 0.0194s
2026-02-15 16:25:10,310 | INFO | app.main | Incoming request: GET http://127.0.0.1:8000/
2026-02-15 16:25:10,312 | INFO | app.main | Completed GET http://127.0.0.1:8000/ Status: 200 Time: 0.0025s
2026-02-15 16:25:11,849 | INFO | app.main | Incoming request: POST http://127.0.0.1:8000/rides/request
2026-02-15 16:25:11,851 | INFO | app.services.ride_service | Creating ride request for user 1
2026-02-15 16:25:11,875 | INFO | app.main | Completed POST http://127.0.0.1:8000/rides/request Status: 200 Time: 0.0263s
2026-02-15 16:25:21,950 | INFO | app.main | Incoming request: POST http://127.0.0.1:8000/rides/8/cancel
2026-02-15 16:25:21,954 | INFO | app.services.ride_service | Cancelling ride request 8
2026-02-15 16:25:21,976 | INFO | app.main | Completed POST http://127.0.0.1:8000/rides/8/cancel Status: 200 Time: 0.0261s
2026-02-15 16:25:25,243 | INFO | app.main | Incoming request: POST http://127.0.0.1:8000/rides/request
2026-02-15 16:25:25,248 | INFO | app.services.ride_service | Creating ride request for user 1
2026-02-15 16:25:25,289 | INFO | app.main | Completed POST http://127.0.0.1:8000/rides/request Status: 200 Time: 0.0475s
2026-02-15 16:25:26,132 | INFO | app.main | Incoming request: POST http://127.0.0.1:8000/rides/request
2026-02-15 16:25:26,135 | INFO | app.services.ride_service | Creating ride request for user 1
2026-02-15 16:25:26,169 | INFO | app.main | Completed POST http://127.0.0.1:8000/rides/request Status: 200 Time: 0.0365s
2026-02-15 16:25:26,890 | INFO | app.main | Incoming request: POST http://127.0.0.1:8000/rides/request
2026-02-15 16:25:26,897 | INFO | app.services.ride_service | Creating ride request for user 1
2026-02-15 16:25:26,928 | INFO | app.main | Completed POST http://127.0.0.1:8000/rides/request Status: 200 Time: 0.0384s
2026-02-15 16:25:27,613 | INFO | app.main | Incoming request: POST http://127.0.0.1:8000/rides/request
2026-02-15 16:25:27,619 | INFO | app.services.ride_service | Creating ride request for user 1
2026-02-15 16:25:27,645 | INFO | app.main | Completed POST http://127.0.0.1:8000/rides/request Status: 200 Time: 0.0322s
2026-02-15 16:25:28,220 | INFO | app.main | Incoming request: POST http://127.0.0.1:8000/rides/request
2026-02-15 16:25:28,221 | INFO | app.services.ride_service | Creating ride request for user 1
2026-02-15 16:25:28,242 | INFO | app.main | Completed POST http://127.0.0.1:8000/rides/request Status: 200 Time: 0.0221s
2026-02-15 16:25:28,770 | INFO | app.main | Incoming request: POST http://127.0.0.1:8000/rides/request
2026-02-15 16:25:28,771 | INFO | app.services.ride_service | Creating ride request for user 1
2026-02-15 16:25:28,797 | INFO | app.main | Completed POST http://127.0.0.1:8000/rides/request Status: 200 Time: 0.0272s
2026-02-15 16:25:29,161 | INFO | app.main | Incoming request: POST http://127.0.0.1:8000/rides/request
2026-02-15 16:25:29,167 | INFO | app.services.ride_service | Creating ride request for user 1
2026-02-15 16:25:29,199 | INFO | app.main | Completed POST http://127.0.0.1:8000/rides/request Status: 200 Time: 0.038s
2026-02-15 16:25:29,373 | INFO | app.main | Incoming request: POST http://127.0.0.1:8000/rides/request
2026-02-15 16:25:29,377 | INFO | app.services.ride_service | Creating ride request for user 1
2026-02-15 16:25:29,398 | INFO | app.main | Completed POST http://127.0.0.1:8000/rides/request Status: 200 Time: 0.0246s
2026-02-15 16:25:29,578 | INFO | app.main | Incoming request: POST http://127.0.0.1:8000/rides/request
2026-02-15 16:25:29,580 | INFO | app.services.ride_service | Creating ride request for user 1
2026-02-15 16:25:29,596 | INFO | app.main | Completed POST http://127.0.0.1:8000/rides/request Status: 200 Time: 0.0176s
2026-02-15 16:25:29,786 | INFO | app.main | Incoming request: POST http://127.0.0.1:8000/rides/request
2026-02-15 16:25:29,788 | INFO | app.services.ride_service | Creating ride request for user 1
2026-02-15 16:25:29,800 | INFO | app.main | Completed POST http://127.0.0.1:8000/rides/request Status: 200 Time: 0.0142s
2026-02-15 16:25:29,989 | INFO | app.main | Incoming request: POST http://127.0.0.1:8000/rides/request
2026-02-15 16:25:29,992 | INFO | app.services.ride_service | Creating ride request for user 1
2026-02-15 16:25:30,017 | INFO | app.main | Completed POST http://127.0.0.1:8000/rides/request Status: 200 Time: 0.0275s
2026-02-15 16:25:30,187 | INFO | app.main | Incoming request: POST http://127.0.0.1:8000/rides/request
2026-02-15 16:25:30,191 | INFO | app.services.ride_service | Creating ride request for user 1
2026-02-15 16:25:30,218 | INFO | app.main | Completed POST http://127.0.0.1:8000/rides/request Status: 200 Time: 0.0311s
2026-02-15 16:25:30,383 | INFO | app.main | Incoming request: POST http://127.0.0.1:8000/rides/request
2026-02-15 16:25:30,385 | INFO | app.services.ride_service | Creating ride request for user 1
2026-02-15 16:25:30,397 | INFO | app.main | Completed POST http://127.0.0.1:8000/rides/request Status: 200 Time: 0.0147s
2026-02-15 16:25:56,070 | INFO | app.main | Incoming request: GET http://127.0.0.1:8000/
2026-02-15 16:25:56,073 | INFO | app.main | Completed GET http://127.0.0.1:8000/ Status: 200 Time: 0.0032s
2026-02-15 16:26:05,509 | INFO | app.main | Incoming request: POST http://127.0.0.1:8000/rides/request
2026-02-15 16:26:05,512 | INFO | app.services.ride_service | Creating ride request for user 1
2026-02-15 16:26:05,535 | INFO | app.main | Completed POST http://127.0.0.1:8000/rides/request Status: 200 Time: 0.026s
